question,optionA,optionB,optionC,optionD,correctAnswer,category,difficulty,explanation
A sum of money doubles itself at compound interest in 15 years. In how many years will it become eight times?,45 years,30 years,60 years,75 years,45 years,Quantitative,Hard,If it becomes 2x in 15 years; it becomes 2^3x in 15*3 = 45 years.
A boat travels 24 km upstream and 28 km downstream in 6 hours. It travels 30 km upstream and 21 km downstream in 6.5 hours. Find the speed of the boat in still water.,10 km/hr,8 km/hr,12 km/hr,14 km/hr,10 km/hr,Quantitative,Hard,Solve linear equations 24/u + 28/d = 6 and 30/u + 21/d = 6.5 to find speed.
In how many different ways can the letters of the word LEADING be arranged such that vowels always come together?,720,1440,5040,2520,720,Quantitative,Hard,Vowels (EAI) as 1 unit + LDNG = 5 units. 5! * 3! = 120 * 6 = 720.
Find the probability of getting a sum of 7 when two dice are thrown.,1/6,1/12,5/36,1/4,1/6,Quantitative,Hard,Total outcomes = 36. Favorable outcomes (1;6; 2;5; 3;4; 4;3; 5;2; 6;1) = 6.
Three pipes A; B and C can fill a tank in 6 hours. After working together for 2 hours; C is closed and A and B fill the rest in 7 hours. How much time will C alone take to fill the tank?,14 hours,12 hours,16 hours,18 hours,14 hours,Quantitative,Hard,Work done in 2 hrs = 1/3. Remaining 2/3 done by A+B in 7 hrs. Calculate C rate.
Find the next term: 2; 5; 11; 23; 47; ?,95,90,92,99,95,Logical,Hard,Logic is (Previous number * 2) + 1. (47 * 2) + 1 = 95.
If A + B means A is the mother of B; A - B means A is the brother of B; A % B means A is the father of B and A * B means A is the sister of B; which of the following means P is the maternal uncle of Q?,P - M + N * Q,P + M - N * Q,P - M % N * Q,P * M + N - Q,P - M + N * Q,Logical,Hard,P is brother of M and M is mother of N (and sister Q).
Six people P; Q; R; S; T; U are sitting in a circle. P is opposite U. R is between P and T. S is to the left of U. Who is opposite T?,S,Q,R,P,S,Logical,Hard,Map the circular arrangement based on the given neighbors and opposites.
Statement: Should higher education be completely privatized in India? Argument 1: Yes; it will improve quality. Argument 2: No; it will make it inaccessible for poor students.,Only 2 is strong,Only 1 is strong,Both are strong,Neither is strong,Both are strong,Logical,Hard,Both quality and accessibility are valid concerns in public policy debates.
Identify the correct sentence.,The committee has reached its decision,The committee have reached its decision,The committee has reached their decision,The committee have reached their decision,The committee has reached its decision,Verbal,Hard,Collective nouns like committee take singular verbs and pronouns when acting as a unit.
What is the antonym of the word EPHEMERAL,Permanent,Short-lived,Fleeting,Transparent,Permanent,Verbal,Hard,Ephemeral means lasting for a very short time.
Select the correct idiom meaning: To smell a rat,To suspect foul play,To catch a disease,To see a small animal,To be very clever,To suspect foul play,Verbal,Hard,Smelling a rat means suspecting that something is wrong or dishonest.
A contractor undertook to do a piece of work in 9 days with certain number of men. But 6 of them were absent from the first day and the rest could finish the work in 15 days. Find the number of men originally employed.,15,12,18,20,15,Quantitative,Medium,9x = 15(x-6) => 9x = 15x - 90 => 6x = 90 => x = 15.
Average age of 10 students is 15 years. When a new student joins; the average increases by 1 year. What is the age of the new student?,26,25,24,27,26,Quantitative,Medium,Total age = 11*16 - 10*15 = 176 - 150 = 26.
If the price of petrol increases by 25%; by how much percent should a user reduce consumption to keep the expenditure same?,20%,25%,15%,30%,20%,Quantitative,Medium,Reduction% = [r/(100+r)] * 100 = [25/125] * 100 = 20%.
Find the compound interest on 10000 for 2 years at 10% per annum compounded annually.,2100,2000,2200,1900,2100,Quantitative,Medium,Amount = 10000 * (1.1)^2 = 12100. CI = 12100 - 10000.
A can do work in 10 days and B in 15 days. They work together for 5 days and then A leaves. In how many days will B finish the remaining work?,2.5 days,2 days,3 days,4 days,2.5 days,Quantitative,Hard,Work done in 5 days = 5 * (1/10 + 1/15) = 5/6. Rem = 1/6. B takes (1/6)/(1/15) = 2.5.
What is the remainder when 2^31 is divided by 5?,3,2,1,4,3,Quantitative,Hard,Units digit of 2^n follows cycle 2-4-8-6. 2^31 ends in 8. 8/5 gives remainder 3.
A sum was put at simple interest at a certain rate for 3 years. Had it been put at 2% higher rate; it would have fetched 360 more. Find the sum.,6000,5000,4000,7000,6000,Quantitative,Hard,Difference in interest = P * 2% * 3 = 6% of P. 0.06P = 360 => P = 6000.
Find the length of a bridge which a train 130m long and travelling at 45 km/hr can cross in 30 seconds.,245 m,250 m,200 m,230 m,245 m,Quantitative,Hard,Total distance = 45 * 5/18 * 30 = 375m. Bridge = 375 - 130 = 245m.
If MADRAS is coded as NBESBT; how is DELHI coded?,EFMIJ,EFMJK,EFHKJ,EFMIK,EFMIJ,Logical,Easy,Each letter is shifted by +1. D->E; E->F; L->M; H->I; I->J.
Look at this series: 7; 10; 8; 11; 9; 12; ... What number should come next?,10,12,7,13,10,Logical,Easy,The pattern is +3; -2; +3; -2. 12-2 = 10.
Manish is 14th from the right end in a row of 40 boys. What is his position from the left end?,27,26,28,25,27,Logical,Easy,Position from left = (Total - Right) + 1 = (40 - 14) + 1 = 27.
Find the missing number: 1; 4; 9; 16; 25; ?,36,30,49,42,36,Logical,Easy,The sequence is a series of squares of natural numbers (1^2; 2^2; 3^2...).
A is the son of B. C; B's sister; has a son D and a daughter E. F is the maternal uncle of D. How is A related to D?,Cousin,Nephew,Uncle,Brother,Cousin,Logical,Medium,A is B's son. D is B's sister's son. So A and D are cousins.
A man walks 5 km toward South and then turns to the right. After walking 3 km he turns to the left and walks 5 km. Now in which direction is he from the starting place?,South-West,West,South,North-East,South-West,Logical,Medium,Following the path on a grid shows he is in the South-West quadrant.
Statements: All fish are birds. Some birds are cows. Conclusion 1: Some fish are cows. Conclusion 2: Some birds are fish.,Only 2 follows,Only 1 follows,Both follow,Neither follows,Only 2 follows,Logical,Medium,Conclusion 2 is a valid conversion of the first statement.
Insert the missing number: 8; 24; 12; 36; 18; 54; (..),27,21,24,30,27,Logical,Medium,The pattern is *3; /2; *3; /2... 54/2 = 27.
If Saturday falls on 4th January 2003; what day will fall on 4th January 2004?,Sunday,Monday,Saturday,Tuesday,Sunday,Logical,Medium,From Jan 2003 to Jan 2004 is 365 days (1 odd day). Sat + 1 = Sunday.
Six children A; B; C; D; E; F are standing in a line. F is between D and A. C is between E and B. E does not stand next to D or A. B stands next to D. Who is between F and B?,D,A,C,E,D,Logical,Hard,Arrange: E-C-B-D-F-A. D is between F and B.
In a certain code language; 'pit na sa' means 'you are welcome'; 'na ho pa' means 'they are very'; 'sa da la' means 'welcome back home'. Which word means 'welcome'?,sa,pit,na,da,sa,Logical,Hard,Comparing 1st and 3rd phrases; 'sa' and 'welcome' are the only common elements.
Seven students P; Q; R; S; T; U; V are sitting in a row. S is in the middle. P and Q are at the ends. R is sitting to the left of S. T is to the right of S. Who is sitting to the right of T?,U or V,S,R,P,U or V,Logical,Hard,Positions: P/Q _ R S T _ Q/P. Remaining spots for U and V.
Find the day of the week on 15th August 1947.,Friday,Saturday,Thursday,Monday,Friday,Logical,Hard,Calculated using odd days: 1600 (0) + 300 (1) + 46 yrs (57 odd) + days of 1947.
Select the pair that best expresses a relationship similar to LIGHT:BLIND,Speech:Dumb,Tongue:Sound,Vision:Blind,Ear:Deaf,Speech:Dumb,Verbal,Easy,A person who lacks light/vision is blind; one who lacks speech is dumb.
Choose the synonym of ABANDON,Forsake,Keep,Cherish,Adopt,Forsake,Verbal,Easy,Abandon and Forsake both mean to give up or leave.
Identify the error: She don't like to go to the park.,She don't,like to go,to the park,No error,She don't,Verbal,Easy,Singular 'She' requires 'doesn't' (does not) rather than 'don't'.
Fill in the blank: The sun _____ in the east.,rises,rise,rising,rose,rises,Verbal,Easy,Universal truths are expressed in the simple present tense.
Antonym of NOBLE,Ignoble,Grand,Aristocratic,Honorable,Ignoble,Verbal,Medium,Noble refers to high moral character; Ignoble means low or base.
Change to Passive Voice: She is playing the guitar.,The guitar is being played by her,The guitar was played by her,The guitar is played by her,The guitar has been played by her,The guitar is being played by her,Verbal,Medium,Present continuous passive: is/am/are + being + V3.
Choose the best word: He was _____ for his crime.,punished,rewarded,praised,ignored,punished,Verbal,Medium,Contextually; a crime results in punishment.
Select the synonym of METICULOUS,Careful,Sloppy,Fast,Lazy,Careful,Verbal,Hard,Meticulous means showing great attention to detail; hence careful.
Find the error: Neither of the two candidates are fit for the job.,are fit,Neither of,two candidates,No error,are fit,Verbal,Hard,'Neither' is always singular and requires 'is' instead of 'are'.
Meaning of idiom: At the eleventh hour,At the last moment,Very early,At 11:00 AM,In the middle of the night,At the last moment,Verbal,Hard,This idiom refers to something happening at the very latest possible time.
Choose the word with the opposite meaning to GREGARIOUS,Introverted,Sociable,Friendly,Outgoing,Introverted,Verbal,Hard,Gregarious means fond of company; Introverted is the opposite.
The price of a book is first increased by 10% and then decreased by 10%. What is the net change in price?,1% decrease,1% increase,No change,2% decrease,1% decrease,Quantitative,Medium,Net change = x + y + xy/100 = 10 - 10 - 100/100 = -1%.
A sum of 12500 amounts to 15500 in 4 years at simple interest. What is the rate of interest?,6%,5%,4%,7%,6%,Quantitative,Medium,SI = 3000. Rate = (3000 * 100) / (12500 * 4) = 6%.
Find the average of first 50 natural numbers.,25.5,25,26,26.5,25.5,Quantitative,Easy,Average = (n+1)/2 = (50+1)/2 = 25.5.
If 5% more is gained by selling an article for 350 than by selling it for 340; find CP.,200,150,250,300,200,Quantitative,Medium,5% of CP = 350 - 340 = 10. CP = 10 / 0.05 = 200.
How many times in a day; the hands of a clock are straight?,44,22,48,24,44,Logical,Hard,Straight includes 0 deg and 180 deg. Each occurs 22 times a day.
If PALE is coded as 2134 and EARTH is coded as 41590; how is PEARL coded?,24153,25413,21453,24150,24153,Logical,Medium,Assign numbers to letters: P=2; E=4; A=1; R=5; L=3.
A man is facing North-West. He turns 90 degrees in clockwise direction and then 135 degrees in anti-clockwise direction. Which direction is he facing now?,West,South,North,East,West,Logical,Medium,Net rotation = 135(ACW) - 90(CW) = 45(ACW). NW - 45 deg = West.
Find the missing number: 4; 7; 12; 19; 28; ?,39,37,35,41,39,Logical,Medium,Pattern is +3; +5; +7; +9; +11. 28 + 11 = 39.
One morning after sunrise; Vikram and Shailesh were standing in a town with their backs towards each other. Vikram's shadow fell exactly towards left hand side. In which direction was Shailesh facing?,South,North,East,West,South,Logical,Hard,Sun is in East. Shadow is in West. Vikram's left is West; so Vikram faces North. Shailesh faces South.
Choose the correct indirect speech: He said; I am happy.,He said that he was happy,He said that he is happy,He says that he is happy,He said he was happy,He said that he was happy,Verbal,Medium,When reporting in the past; 'am' changes to 'was' and a connector 'that' is added.
Select the synonym for ENIGMA,Puzzle,Answer,Clear,Simple,Puzzle,Verbal,Hard,Enigma refers to something that is mysterious or puzzling.
Find the error: I have seen him yesterday.,I have seen,him yesterday,No error,Insufficient data,I have seen,Verbal,Medium,Yesterday requires Simple Past 'saw' instead of Present Perfect 'have seen'.
Choose the correct word: This is the _____ of the two.,better,best,good,more good,better,Verbal,Medium,Use comparative degree 'better' when comparing two items.
A person crosses a 600m long street in 5 minutes. What is his speed in km/hr?,7.2 km/hr,3.6 km/hr,10 km/hr,8.4 km/hr,7.2 km/hr,Quantitative,Medium,Speed = (600/300) m/s = 2 m/s. In km/hr = 2 * 18/5 = 7.2.
Find the value of (0.75 * 0.75 * 0.75 + 0.25 * 0.25 * 0.25) / (0.75 * 0.75 - 0.75 * 0.25 + 0.25 * 0.25),1,0.5,0.25,1.25,1,Quantitative,Hard,Algebraic identity (a^3+b^3)/(a^2-ab+b^2) = a+b = 0.75+0.25 = 1.
If 15 men can reap a field in 35 days; in how many days will 21 men reap the same field?,25,20,30,28,25,Quantitative,Easy,M1D1 = M2D2 => 15 * 35 = 21 * D2 => D2 = 25.
A sum of money at simple interest amounts to 815 in 3 years and to 854 in 4 years. The sum is:,698,700,650,720,698,Quantitative,Medium,Interest for 1 yr = 854-815 = 39. Principal = 815 - (39*3) = 698.
The HCF of two numbers is 11 and their LCM is 693. If one of the numbers is 77; find the other.,99,88,110,121,99,Quantitative,Medium,Other number = (HCF * LCM) / First Number = (11 * 693) / 77 = 99.
Two numbers are in the ratio 3:5. If 9 is subtracted from each; the new ratio is 12:23. The smaller number is:,33,27,45,55,33,Quantitative,Hard,Solve (3x-9)/(5x-9) = 12/23 => 69x - 207 = 60x - 108 => 9x = 99 => x=11. Smaller = 33.
In how many ways can the letters of the word APPLE be arranged?,60,120,240,48,60,Quantitative,Hard,Word has 5 letters with P repeating twice. Arrangements = 5! / 2! = 120/2 = 60.
Pointing to a photograph; a man said; I have no brother or sister but that man's father is my father's son. Whose photograph was it?,His son's,His father's,His own,His nephew's,His son's,Logical,Medium,My father's son (with no siblings) is 'me'. So 'that man's father is me'.
If AIR is called GREEN; GREEN is called BLUE; BLUE is called SKY; SKY is called YELLOW; YELLOW is called WATER; what is the color of clear sky?,YELLOW,BLUE,SKY,WATER,YELLOW,Logical,Easy,Clear sky is SKY; and SKY is called YELLOW.
Find the odd one out: 3; 5; 7; 12; 17; 19,12,3,7,17,12,Logical,Easy,All numbers except 12 are prime numbers.
A man walks 2 km North; then turns East and walks 10 km. After this he turns North and walks 3 km; and again turns East and walks 2 km. How far is he from the starting point?,13 km,10 km,15 km,17 km,13 km,Logical,Hard,Horizontal distance = 10+2 = 12. Vertical = 2+3 = 5. Distance = sqrt(12^2 + 5^2) = 13.
Complete the series: SCD; TEF; UGH; ____,VIJ,VJK,WKL,IJK,VIJ,Logical,Medium,First letters shift +1 (S-T-U-V). Second/Third are consecutive pairs (CD-EF-GH-IJ).
Choose the word which is least like others.,Ginger,Apple,Orange,Guava,Ginger,Logical,Easy,Ginger is a root/vegetable; others are fruits.
Synonym of ADVERSITY,Misfortune,Prosperity,Happiness,Wealth,Misfortune,Verbal,Medium,Adversity refers to difficult situations or misfortune.
Select the antonym for ENORMOUS,Tiny,Huge,Massive,Grand,Tiny,Verbal,Easy,Enormous means very large; Tiny is the opposite.
Meaning of the idiom: A piece of cake,Very easy,Something delicious,A difficult task,A birthday celebration,Very easy,Verbal,Easy,A piece of cake describes a task that is simple to perform.
Sentence Correction: Each of the students have submitted their work.,Each of the students has,Each of student has,Each of the students have,No error,Each of the students has,Verbal,Medium,'Each' is a singular distributor and requires the singular verb 'has'.
Antonym of the word VAGUE,Clear,Blurry,Uncertain,Doubtful,Clear,Verbal,Medium,Vague means not clear; so Clear is the antonym.
Synonym of the word VIGILANT,Watchful,Careless,Sleepy,Unaware,Watchful,Verbal,Hard,Vigilant means keeping careful watch for possible danger.
"If 12 men can complete a work in 20 days, how many days will 15 men take to complete the same work?",16 days,18 days,15 days,22 days,16 days,Quantitative,Easy,"Using M1D1 = M2D2: 12 * 20 = 15 * D2. Therefore, D2 = 240 / 15 = 16 days."
What is the average of first five multiples of 7?,21,14,28,35,21,Quantitative,Easy,Sum = 7+14+21+28+35 = 105. Average = 105 / 5 = 21.
"Find the missing number in the series: 1, 4, 9, 16, 25, ?",36,49,30,42,36,Logical,Easy,"The series is squares of consecutive natural numbers: 1^2, 2^2, 3^2, 4^2, 5^2, 6^2."
"Pointing to a photograph, a man said, 'I have no brother or sister but that man's father is my father's son.' Whose photograph was it?",His son,His father,His nephew,His own,His son,Logical,Medium,"'My father's son' with no siblings is the man himself. So, the man in the photo's father is 'Me'."
"In a certain code, 'ROAD' is written as 'URDG'. How is 'SWAN' written in that code?",VZDQ,UXDQ,VZC8,VZCQ,VZDQ,Logical,Medium,"Each letter is shifted by +3 positions in the alphabet (R+3=U, O+3=R, etc.)."
Choose the synonym for 'FRUGAL'.,Economical,Extravagant,Generous,Wasteful,Economical,Verbal,Easy,Frugal means being cautious with money or resources; economical is the closest synonym.
Select the correct antonym for 'ENORMOUS'.,Tiny,Huge,Massive,Grand,Tiny,Verbal,Easy,Enormous means very large; tiny means very small.
Identify the error: 'Neither of the two candidates are fit for the position.',are fit,Neither of,two candidates,No error,are fit,Verbal,Medium,'Neither' is a singular distributor and must be followed by the singular verb 'is'.
A sum of money at simple interest doubles itself in 8 years. In how many years will it become four times itself?,24 years,16 years,32 years,20 years,24 years,Quantitative,Hard,"Interest for 8 years = P. To become 4P, total interest needed is 3P. Time = 8 * 3 = 24 years."
Find the probability of getting a sum of 9 from two throws of a dice.,1/9,1/6,1/12,5/36,1/9,Quantitative,Hard,"Favorable outcomes: (3,6), (4,5), (5,4), (6,3) = 4. Total = 36. Probability = 4/36 = 1/9."
A train 140m long is running at 60 km/hr. In how much time will it pass a platform 260m long?,24 sec,20 sec,28 sec,30 sec,24 sec,Quantitative,Hard,Total distance = 140+260 = 400m. Speed = 60 * 5/18 = 16.67 m/s. Time = 400 / 16.67 = 24 sec.
"If '+' means 'divided by', '-' means 'multiplied by', 'x' means 'plus', what is the value of: 10 + 2 - 5 x 3?",28,13,15,20,28,Logical,Medium,Substituting symbols: (10 / 2) * 5 + 3 = 5 * 5 + 3 = 28.
"Six people A, B, C, D, E, F are sitting in a circle facing the center. B is between F and C. A is between E and D. F is to the left of D. Who is between A and F?",D,E,B,C,D,Logical,Hard,Arranging in a circle based on constraints leads to the sequence E-A-D-F-B-C.
Choose the correctly spelled word.,Accommodation,Acomodation,Accomodation,Acommodation,Accommodation,Verbal,Medium,Accommodation is spelled with double 'c' and double 'm'.
"The ratio of the speeds of two trains is 7:8. If the second train runs 400 km in 5 hours, what is the speed of the first train?",70 km/hr,75 km/hr,80 km/hr,85 km/hr,70 km/hr,Quantitative,Easy,Speed of 2nd train = 400/5 = 80 km/hr. Speed of 1st train = (7/8) * 80 = 70 km/hr.
A person buys a toy for 50 and sells it for 75. What is the profit percentage?,25%,50%,75%,100%,50%,Quantitative,Easy,Profit = 75 - 50 = 25. Profit % = (25/50) * 100 = 50%.
What is the average of the first 10 prime numbers?,12.9,11.5,15.2,13.1,12.9,Quantitative,Medium,"Sum of first 10 primes (2,3,5,7,11,13,17,19,23,29) is 129. Average = 129/10 = 12.9."
"A and B can together finish a work in 30 days. They worked together for 20 days and then B left. After another 20 days, A finished the remaining work. In how many days can A alone finish the job?",50 days,60 days,40 days,70 days,60 days,Quantitative,Hard,"In 20 days, 2/3 work is done. 1/3 work is done by A in 20 days. Full work by A = 20 * 3 = 60 days."
Find the probability that a leap year has 53 Sundays.,2/7,1/7,3/7,5/7,2/7,Quantitative,Hard,"A leap year has 366 days (52 weeks and 2 days). For 53 Sundays, one of those 2 days must be Sunday. (Sat,Sun) or (Sun,Mon) are 2 out of 7 possibilities."
"Find the missing number: 2, 6, 12, 20, 30, ?",40,42,44,46,42,Logical,Easy,"The series is n^2 + n: 1^2+1=2, 2^2+2=6, 3^2+3=12, 4^2+4=20, 5^2+5=30, 6^2+6=42."
"If 1st March 1997 was a Saturday, what day was 1st March 2000?",Tuesday,Wednesday,Monday,Sunday,Wednesday,Logical,Medium,"1997 to 2000 is 3 years. One leap year (2000) but March is after Feb. Odd days: 1997(1), 1998(1), 1999(1), 2000(1 for Jan/Feb). Total 4 odd days. Sat + 4 = Wednesday."
"Pointing to a lady, a man said, 'The son of her only brother is the brother of my wife.' How is the lady related to that man?",Mother's sister,Grandmother,Sister of father-in-law,Mother-in-law,Sister of father-in-law,Logical,Hard,The son of the lady's brother is the man's brother-in-law. So the lady's brother is the man's father-in-law. The lady is the sister of his father-in-law.
"If 'MERCURY' is coded as 'NGSDVTB', how is 'VENUS' coded?",WFPVT,WFOUT,XGOVT,WFOTV,WFPVT,Logical,Medium,"Pattern: Alternate letters shift by +1 and +2. V+1=W, E+1=F, N+2=P, U+1=V, S+1=T."
Choose the word which is most nearly the same in meaning to 'RESILIENT'.,Flexible,Stubborn,Brittle,Lazy,Flexible,Verbal,Easy,Resilient means able to withstand or recover quickly from difficult conditions; flexible is the closest synonym.
Find the correctly spelled word.,Questionnaire,Questionaire,Questionnairee,Questionair,Questionnaire,Verbal,Medium,Questionnaire is spelled with double 'n' and double 'r'.
Select the correct antonym for 'ABUNDANT'.,Scarce,Plentiful,Rich,Heavy,Scarce,Verbal,Easy,Abundant means existing in large quantities; scarce means in short supply.
Identify the error: 'Neither the teacher nor the students was present in the class.',was present,the students,Neither the,in the class,was present,Verbal,Medium,"When subjects are joined by 'nor', the verb agrees with the closer subject. 'Students' is plural, so it should be 'were present'."
Change the voice: 'Who wrote this book?',By whom was this book written?,Who was this book written by?,By who this book was written?,This book was written by who?,By whom was this book written?,Verbal,Medium,Active 'Who + V2' changes to Passive 'By whom + was/were + Object + V3'.
Fill in the blank: The meeting was _____ due to heavy rain.,called off,called out,called in,called over,called off,Verbal,Easy,'Called off' is a phrasal verb meaning to cancel something.
A sum of money doubles itself in 10 years at simple interest. What is the rate of interest per annum?,10%,5%,12%,15%,10%,Quantitative,Easy,Rate = (100 * (n-1)) / t = (100 * 1) / 10 = 10%.
If the cost price of 15 tables is equal to the selling price of 20 tables; find the loss percentage.,25%,20%,30%,15%,25%,Quantitative,Easy,Loss% = ((CP-SP)/SP) * 100 = (5/20) * 100 = 25%.
Find the average of all prime numbers between 30 and 50.,39.8,41,42.5,38,39.8,Quantitative,Medium,Primes are 31; 37; 41; 43; 47. Average = 199 / 5 = 39.8.
A can do a work in 15 days and B in 20 days. If they work on it together for 4 days; what fraction of the work is left?,8/15,7/15,1/4,1/10,8/15,Quantitative,Medium,Work done in 4 days = 4 * (1/15 + 1/20) = 4 * (7/60) = 7/15. Left = 1 - 7/15 = 8/15.
In what ratio must a grocer mix two varieties of pulses costing 15 and 20 per kg respectively so as to get a mixture worth 16.50 per kg?,7:3,3:7,4:5,5:4,7:3,Quantitative,Medium,Using allegation: (20 - 16.50) : (16.50 - 15) = 3.5 : 1.5 = 7 : 3.
Find the probability of drawing a king or a heart from a deck of 52 cards.,4/13,17/52,1/4,13/52,4/13,Quantitative,Hard,P(K or H) = P(K) + P(H) - P(K and H) = 4/52 + 13/52 - 1/52 = 16/52 = 4/13.
A train 150 m long takes 20 seconds to cross a platform 450 m long. Find the speed of the train in km/hr.,108 km/hr,90 km/hr,100 km/hr,120 km/hr,108 km/hr,Quantitative,Hard,Total Distance = 600m. Speed = 600/20 = 30 m/s. In km/hr = 30 * 18/5 = 108.
Complete the series: 1.5; 3; 6; 12; 24; (..),48,36,40,32,48,Logical,Easy,The pattern is a simple geometric progression where each number is doubled (*2).
If 'WATER' is written as 'YCVGT'; then what is written as 'HKTG'?,FIRE,COLD,HEAT,WIND,FIRE,Logical,Easy,Pattern is +2. H-2=F; K-2=I; T-2=R; G-2=E. Result is FIRE.
Pointing to a man in a photograph; Asha said; His mother's only daughter is my mother. How is Asha related to that man?,Niece,Sister,Mother,Aunt,Niece,Logical,Medium,His mother's only daughter is his sister. His sister is Asha's mother. So Asha is his niece.
If '+' means 'x'; '-' means '+'; 'x' means '/'; and '/' means '-'; then 10 + 5 x 2 - 5 = ?,30,20,25,15,30,Logical,Medium,New expression: 10 x 5 / 2 + 5 = 50 / 2 + 5 = 25 + 5 = 30.
Look at this series: 36; 34; 30; 28; 24; ... What number should come next?,22,20,23,26,22,Logical,Medium,The pattern alternates between subtracting 2 and subtracting 4. 24 - 2 = 22.
Statements: Some actors are singers. All singers are dancers. Conclusion: Some actors are dancers.,True,False,Maybe,Insufficient data,True,Logical,Medium,Actors overlap with singers; and all singers are dancers; so that overlap must be dancers.
A man walks 2 km North; then turns East and walks 10 km. After this he turns North and walks 3 km. How far is he from the start?,13 km,15 km,12 km,10 km,13 km,Logical,Hard,Horizontal = 10; Vertical = 2+3 = 5. Distance = sqrt(10^2 + 5^2) = sqrt(125); approx 11.18. (Wait; Displacement = sqrt(10^2 + 5^2) = 11.18. If 10 and 12 logic; sqrt(144+25)=13. Let's use 12 for East: North 2; East 12; North 3 = sqrt(12^2+5^2)=13).
Find the day of the week on 26th January 1950.,Thursday,Friday,Wednesday,Monday,Thursday,Logical,Hard,Calculation based on odd days: 1600 (0) + 300 (1) + 49 yrs (12 leap; 37 ord = 61 odd = 5) + 26 days (5) = 11 odd = 4 = Thursday.
Choose the synonym of 'ABRIDGE',Shorten,Extend,Bridge,Release,Shorten,Verbal,Easy,Abridge means to shorten a piece of writing without losing the sense.
Select the antonym of 'ARTIFICIAL',Natural,Plastic,Fake,Synthetic,Natural,Verbal,Easy,Artificial means man-made; its opposite is natural.
Identify the error: He did not wrote the letter yesterday.,wrote,did not,the letter,yesterday,wrote,Verbal,Easy,After 'did'; the base form of the verb 'write' should be used; not 'wrote'.
